User-ID;Location;Age
2;stockton, california, usa;18
8;timmins, ontario, canada;NULL
9;germantown, tennessee, usa;NULL
10;albacete, wisconsin, spain;26
12;fort bragg, california, usa;NULL
14;mediapolis, iowa, usa;NULL
16;albuquerque, new mexico, usa;NULL
17;chesapeake, virginia, usa;NULL
19;weston, ,;14
20;langhorne, pennsylvania, usa;19
22;erfurt, thueringen, germany;NULL
23;philadelphia, pennsylvania, usa;NULL
26;bellevue, washington, usa;NULL
32;portland, oregon, usa;NULL
36;montreal, quebec, canada;24
39;cary, north carolina, usa;NULL
42;appleton, wisconsin, usa;17
44;black mountain, north carolina, usa;51
51;renton, washington, usa;34
53;tacoma, washington, usa;NULL
56;cheyenne, wyoming, usa;24
64;lyon, rhone, france;32
67;framingham, massachusetts, usa;43
68;montreal, quebec, canada;NULL
69;vancouver, british columbia, canada;NULL
70;rochester, new york, usa;44
73;wentzville, missouri, usa;NULL
75;long beach, california, usa;37
77;vancouver, british columbia, canada;NULL
78;oakland, california, usa;18
79;ottawa, ontario, canada;20
81;santa cruz, california, usa;NULL
82;del mar, california, usa;NULL
83;eugene, oregon, usa;NULL
85;london, england, united kingdom;41
86;los angeles, california, usa;NULL
87;richardson, texas, usa;NULL
88;fayetteville, georgia, usa;NULL
91;toronto/newmarket, ,;NULL
92;castellar del valles, barcelona, spain;20
95;grand island, new york, usa;NULL
97;mechanicsburg, pennsylvania, usa;NULL
99;franktown, colorado, usa;42
